Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_20:59:50,80.0,80.0,56.0,53.0,80.0,54.0,28.0,37.5,3282.8,3588.8,3492.7,3703.1,2800.0,2800.0,3563.4,2800.0,3514.4,13.0,2.4,0.5,100.0,0.0,0.5,0.0,0.0,0.0,5000,0
2023-11-14_20:59:52,80.0,80.0,56.0,53.0,80.0,53.0,28.0,37.5,3206.6,3502.5,3574.3,3780.4,2800.0,2800.0,3595.5,2800.0,2800.0,12.9,0.9,0.0,100.0,0.5,0.0,0.9,0.0,0.5,5000,0
2023-11-14_20:59:54,80.0,81.0,56.0,54.0,80.0,54.0,28.0,37.5,3277.4,3400.7,2800.0,3779.5,3542.3,2800.0,3547.4,2800.0,3549.0,12.8,1.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,5100,0
2023-11-14_20:59:56,80.0,81.0,55.0,53.0,80.0,54.0,30.0,37.5,3436.5,3401.1,3529.3,3560.8,3493.9,2800.0,3515.1,3791.1,3400.8,13.0,1.5,0.5,5.4,1.0,0.5,0.5,95.1,1.0,5200,0
2023-11-14_20:59:59,81.0,81.0,56.0,54.0,81.0,55.0,28.0,37.5,3462.7,3434.7,3589.6,3560.5,3401.3,3531.2,3592.5,3791.7,2800.0,13.0,1.5,0.0,0.5,0.5,0.5,0.5,100.0,0.5,5200,0
2023-11-14_21:00:01,81.0,81.0,57.0,54.0,81.0,55.0,28.0,37.5,3208.9,3513.8,3588.9,3788.4,2800.0,2800.0,3579.8,2800.0,2800.0,12.9,1.0,0.0,85.3,0.5,0.0,0.0,14.6,0.5,5300,0
2023-11-14_21:00:03,81.0,81.0,56.0,54.0,81.0,54.0,28.0,37.5,3250.3,3403.4,2800.0,3790.7,3493.5,3399.3,3515.3,2800.0,2800.0,12.8,1.0,0.0,100.0,0.5,0.5,0.0,0.0,0.5,5300,0
run8 Time taken: 129.49283719062805 seconds
2023-11-14_21:02:12,71.0,78.0,56.0,56.0,77.0,55.0,28.0,38.0,3270.6,3422.8,2800.0,3788.9,2800.0,3502.9,3548.6,2800.0,3501.3,18.6,0.0,0.0,15.8,42.9,4.8,0.0,85.7,5.0,5700,0
2023-11-14_21:02:14,80.0,81.0,57.0,54.0,81.0,54.0,28.0,38.0,3268.2,3590.2,3473.4,3507.8,3494.1,3542.2,2800.0,3688.4,3532.1,13.6,1.4,0.9,17.1,0.0,2.3,1.4,82.8,1.4,5600,0
2023-11-14_21:02:16,81.0,81.0,56.0,55.0,80.0,54.0,28.0,37.5,3201.9,3549.5,3500.4,2800.0,2800.0,2800.0,3573.5,3791.9,2800.0,12.9,1.4,0.5,0.0,0.9,0.0,0.0,100.0,0.0,5700,0
2023-11-14_21:02:18,81.0,80.0,57.0,55.0,80.0,56.0,32.0,37.5,3285.8,3565.2,3528.4,2800.0,3588.6,2800.0,3491.9,3712.3,2800.0,13.0,1.0,0.0,0.0,1.0,0.5,2.0,100.0,0.0,5700,0
2023-11-14_21:02:20,81.0,82.0,56.0,55.0,80.0,56.0,33.0,38.0,3274.7,3450.8,2800.0,2800.0,3525.8,2800.0,3587.4,3775.7,3457.6,12.9,0.0,0.5,0.5,1.4,0.5,0.0,100.0,0.5,5700,0
2023-11-14_21:02:23,81.0,82.0,57.0,55.0,81.0,55.0,28.0,38.0,3504.3,3520.8,3567.2,3732.2,3538.5,2800.0,3556.1,3748.7,3570.7,12.9,0.0,0.0,0.0,0.9,0.0,1.4,100.0,0.0,5700,0
2023-11-14_21:02:25,81.0,81.0,57.0,55.0,81.0,56.0,29.0,37.5,3382.3,3541.2,2800.0,3657.5,3585.8,3498.0,3491.8,3684.2,2800.0,12.9,0.0,0.0,0.5,1.0,1.0,0.5,100.0,0.5,5600,0
2023-11-14_21:02:27,81.0,82.0,58.0,56.0,80.0,56.0,28.0,38.0,3364.9,3538.4,2800.0,3558.2,3554.0,2800.0,3525.1,3742.1,3401.6,13.0,0.5,0.5,0.0,1.4,1.0,0.5,100.0,0.5,5500,0
2023-11-14_21:02:29,82.0,83.0,57.0,55.0,82.0,56.0,28.0,37.5,3308.9,3500.9,2800.0,3760.4,3546.0,2800.0,3507.8,3756.0,2800.0,13.0,1.9,0.5,0.0,1.0,0.0,0.0,100.0,0.0,5600,0
2023-11-14_21:02:31,81.0,82.0,58.0,56.0,82.0,56.0,28.0,37.5,3278.7,3538.5,3486.2,3753.3,3541.0,3510.6,2800.0,2800.0,2800.0,13.0,0.5,0.5,67.3,1.0,0.5,0.5,32.7,0.0,5500,0
2023-11-14_21:02:33,82.0,82.0,57.0,56.0,82.0,56.0,28.0,37.5,3376.9,3500.8,2800.0,3755.1,3541.5,3500.3,3564.1,3553.0,2800.0,12.8,0.5,0.0,100.0,1.5,0.5,1.0,0.5,0.0,5500,0
run9 Time taken: 128.77913618087769 seconds
2023-11-14_21:04:41,74.0,75.0,75.0,62.0,63.0,68.0,30.0,38.0,3323.2,3427.2,3469.8,3400.7,3506.7,3398.8,3544.6,3592.8,3672.2,30.0,53.1,14.3,9.4,6.3,15.6,12.1,34.4,100.0,5800,0
2023-11-14_21:04:43,71.0,72.0,55.0,57.0,56.0,71.0,28.0,37.5,3289.9,3507.6,3525.9,2800.0,2800.0,3583.3,2800.0,3518.7,3700.7,13.1,0.9,0.9,0.0,0.4,0.4,0.0,1.8,100.0,5700,0
2023-11-14_21:04:45,71.0,72.0,56.0,57.0,55.0,71.0,28.0,38.0,3328.1,3589.1,3466.0,2800.0,2800.0,3448.1,3400.5,3400.2,3721.1,13.0,1.9,0.5,0.0,0.0,0.5,1.0,0.5,100.0,5700,0
2023-11-14_21:04:47,71.0,70.0,55.0,57.0,56.0,70.0,28.0,38.0,3379.8,3485.2,3573.1,3572.5,3728.7,3492.1,2800.0,3587.1,2800.0,13.0,1.4,0.0,0.0,71.0,0.5,0.0,0.9,29.8,5600,0
2023-11-14_21:04:49,71.0,71.0,56.0,57.0,56.0,70.0,28.0,38.0,3341.7,3545.1,3542.1,3401.8,3787.4,2800.0,3399.5,3457.9,2800.0,13.2,1.4,0.5,1.0,100.0,0.5,1.0,1.9,0.0,5600,0
2023-11-14_21:04:51,71.0,71.0,56.0,58.0,57.0,71.0,28.0,38.0,3379.3,3525.2,3415.3,3525.9,2800.0,2800.0,3546.6,3514.6,3620.1,12.8,0.0,0.5,0.0,40.8,0.0,0.5,1.5,58.7,5500,0
2023-11-14_21:04:53,72.0,72.0,56.0,58.0,56.0,71.0,28.0,38.0,3271.4,3481.6,2800.0,2800.0,2800.0,3499.7,3491.2,3541.7,3756.6,12.9,0.0,0.0,0.0,0.5,0.5,0.0,1.8,100.0,5400,0
2023-11-14_21:04:55,72.0,71.0,56.0,58.0,58.0,70.0,28.0,38.0,3466.8,3500.6,3552.5,3538.7,3700.5,3500.5,3567.0,3574.9,2800.0,13.0,2.0,0.0,0.0,17.9,0.5,0.5,1.0,82.1,5400,0
